dates,campaign_id,campaign_name,creative_name,ad_id,total_spent,impressions,clicks,leads,platform,ad_set_name,ad_set_id,click_through_rate
2024-11-05,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,1140.62,30699.0,128.0,4.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.4169516922375322
2024-11-04,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Regula_VS_Tech_Static_240924,120212341312480229,169.01,3321.0,8.0,4.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.2408912978018669
2024-11-04,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,6525.72,105741.0,358.0,49.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3385630928400526
2024-10-30,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-3_YOU?,392319116,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-17,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-2_2-million,392319126,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-30,295044246,MBATech_FT&CS_Lead-Gen-3_150324,MBATech_Static-4_Salary,392338416,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-04,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,702.38,5589.0,34.0,6.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.6083378064054392
2024-09-20,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-4_Salary,392338946,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-04,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,195.1,4870.0,5.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.10266940451745381
2024-11-04,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Next_Gen_Leadership_Static_200924,120212409403010229,23.34,740.0,1.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.13513513513513514
2024-11-04,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Are_you_ready_Static_200924,120212409143940229,13.15,349.0,1.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.28653295128939826
2024-11-04,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,4822.06,84865.0,251.0,49.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.29576386024863016
2024-09-27,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-4_Salary,392338946,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-04,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,334.92,3232.0,10.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.3094059405940594
2024-09-29,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-4_Salary,392338946,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-04,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,1097.88,27867.0,110.0,6.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.39473212042918143
2024-10-14,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-4_Salary,392338946,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-03,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Regula_VS_Tech_Static_240924,120212341312480229,141.98,3068.0,8.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.2607561929595828
2024-09-26,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-4_Salary,392348736,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-15,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-4_Salary,392348736,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-30,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-4_Salary,392348736,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-09-22,295034336,MBATech_AL&AI_Lead-Gen-1_150324,MBATech_Static-5_Job,392348916,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-09-23,295034336,MBATech_AL&AI_Lead-Gen-1_150324,MBATech_Static-5_Job,392348916,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-09-21,295034336,MBATech_AL&AI_Lead-Gen-1_150324,MBATech_Static-6_Business-Tech,392348926,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-09-24,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,467.75,3146.0,10.0,0.0,LinkedIn,linkedin_ad,-1.0,0.3178639542275906
2024-09-25,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,457.02,985.0,7.0,1.0,LinkedIn,linkedin_ad,-1.0,0.7106598984771574
2024-09-26,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,426.77,328.0,2.0,0.0,LinkedIn,linkedin_ad,-1.0,0.6097560975609756
2024-11-03,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,8014.47,126641.0,406.0,65.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.32059127770627205
2024-09-27,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,405.26,1327.0,3.0,0.0,LinkedIn,linkedin_ad,-1.0,0.22607385079125847
2024-11-03,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Any_Function_Any_Field_Static_200924,120212285633300229,30.57,611.0,4.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.6546644844517185
2024-09-28,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,238.51,1265.0,6.0,0.0,LinkedIn,linkedin_ad,-1.0,0.47430830039525695
2024-11-03,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,294.58,3088.0,19.0,4.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.6152849740932642
2024-11-03,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,126.43,4934.0,14.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.2837454398054317
2024-11-03,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Transform_Ideas_Static_240924,120212341286500229,21.31,304.0,2.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.6578947368421052
2024-09-29,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,427.98,3578.0,16.0,0.0,LinkedIn,linkedin_ad,-1.0,0.4471771939631079
2024-09-30,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,86.67,218.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-11-03,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,351.38,2772.0,10.0,4.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.36075036075036077
2024-10-13,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,26.14,44.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-10-14,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,37.25,114.0,2.0,0.0,LinkedIn,linkedin_ad,-1.0,1.7543859649122806
2024-11-03,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,1247.78,25093.0,111.0,13.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.4423544414777029
2024-10-15,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,359.67,979.0,5.0,0.0,LinkedIn,linkedin_ad,-1.0,0.5107252298263534
2024-11-03,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,4372.25,75230.0,207.0,38.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2751561876910807
2024-11-02,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Regula_VS_Tech_Static_240924,120212341312480229,188.78,3776.0,14.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3707627118644068
2024-11-02,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,6679.64,101378.0,366.0,61.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3610250744737517
2024-10-16,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,375.37,789.0,6.0,0.0,LinkedIn,linkedin_ad,-1.0,0.7604562737642585
2024-10-17,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,50.54,181.0,3.0,0.0,LinkedIn,linkedin_ad,-1.0,1.6574585635359116
2024-11-02,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,555.97,5761.0,31.0,3.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.5381010241277556
2024-10-18,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,152.08,498.0,3.0,0.0,LinkedIn,linkedin_ad,-1.0,0.6024096385542169
2024-11-02,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,268.33,7146.0,14.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.19591379792891125
2024-10-19,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,71.84,211.0,1.0,0.0,LinkedIn,linkedin_ad,-1.0,0.47393364928909953
2024-10-20,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,32.15,96.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-10-21,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,16.86,39.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-11-02,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,321.7,3265.0,8.0,2.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2450229709035222
2024-11-02,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Any_Function_Any_Field_Static_200924,120212409322200229,44.59,1089.0,4.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.3673094582185491
2024-10-22,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,11.38,54.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-11-02,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,671.72,15365.0,76.0,9.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.494630654083957
2024-10-23,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,17.66,34.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-11-02,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,4655.21,93867.0,244.0,23.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2599422587277744
2024-11-01,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Regula_VS_Tech_Static_240924,120212341312480229,196.43,2759.0,8.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.2899601304820587
2024-11-01,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,6001.84,80134.0,250.0,47.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3119774377916989
2024-10-24,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,25.16,103.0,1.0,0.0,LinkedIn,linkedin_ad,-1.0,0.9708737864077669
2024-10-25,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,53.68,145.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-10-26,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,25.19,96.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-10-27,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,26.87,76.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-10-28,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,36.93,118.0,1.0,0.0,LinkedIn,linkedin_ad,-1.0,0.847457627118644
2024-10-29,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,101.22,468.0,2.0,0.0,LinkedIn,linkedin_ad,-1.0,0.4273504273504274
2024-10-30,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,73.02,280.0,1.0,0.0,LinkedIn,linkedin_ad,-1.0,0.35714285714285715
2024-11-01,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Are_you_ready_Static_200924,120212285678680229,70.56,757.0,4.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.5284015852047557
2024-10-31,340811576,MBATech_C2_LeadGen-1_240924,Any_Function_Any_Field_Static-2_240924,524459176,53.75,151.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,0.0
2024-11-01,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,787.87,7971.0,56.0,5.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.7025467319031489
2024-11-01,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,411.74,8957.0,22.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.24561795243943285
2024-11-01,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,4810.81,106840.0,315.0,33.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2948333957319356
2024-11-01,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,232.05,2303.0,9.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.39079461571862784
2024-11-01,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,619.19,14166.0,61.0,2.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.43060849922349287
2024-11-01,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Drive_Innovation_Static_240924,120212409232300229,95.87,1995.0,5.0,2.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2506265664160401
2024-10-31,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,6259.65,67116.0,253.0,47.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3769592943560403
2024-10-31,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Are_you_ready_Static_200924,120212285678680229,24.55,329.0,3.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.911854103343465
2024-10-31,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Transform_Ideas_Static_240924,120212341286500229,133.39,1880.0,10.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.5319148936170213
2024-10-31,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,390.12,7192.0,25.0,3.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3476084538375973
2024-10-31,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,1043.08,8905.0,63.0,5.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.7074677147669848
2024-10-31,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,146.04,1614.0,12.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.7434944237918215
2024-10-31,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,5104.7,99867.0,332.0,26.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.3324421480569157
2024-10-31,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,560.16,11694.0,53.0,3.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.4532238754917052
2024-10-30,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Any_Function_Any_Field_Static_200924,120212285633300229,130.43,1231.0,8.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.6498781478472786
2024-10-30,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,1512.25,11513.0,82.0,11.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.7122383392686529
2024-10-30,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Transform_Ideas_Static_240924,120212341286500229,85.26,748.0,4.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.53475935828877
2024-10-30,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,250.86,3798.0,11.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.2896261190100053
2024-10-30,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,5765.26,57196.0,206.0,50.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.36016504650674874
2024-10-30,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,4464.04,75206.0,231.0,22.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.30715634390873064
2024-10-30,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,297.72,2564.0,6.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.234009360374415
2024-10-30,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,1030.12,17003.0,74.0,7.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.43521731459154267
2024-10-30,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Drive_Innovation_Static_240924,120212409232300229,118.9,1502.0,4.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2663115845539281
2024-10-29,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,6632.8,70835.0,205.0,38.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.28940495517752524
2024-10-29,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Any_Function_Any_Field_Static_200924,120212285633300229,81.63,942.0,3.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3184713375796179
2024-10-29,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,975.97,6706.0,41.0,6.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.6113927825827618
2024-10-29,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,242.88,4741.0,11.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.23201856148491878
2024-10-29,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,2588.47,32568.0,93.0,13.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.28555637435519526
2024-10-29,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Transform_Ideas_Static_240924,120212409252830229,67.3,936.0,3.0,2.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.3205128205128205
2024-10-29,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,490.15,3389.0,15.0,4.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.4426084390675715
2024-10-29,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,India's_First_Tech_MBA_Static_200924,120212409290100229,2525.6,35390.0,183.0,14.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.5170952246397288
2024-09-24,340811576,MBATech_C2_LeadGen-1_240924,Next_Gen_Leadership_Static-3_240924,524459346,425.93,2975.0,13.0,0.0,LinkedIn,linkedin_ad,-1.0,0.4369747899159664
2024-10-29,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Drive_Innovation_Static_240924,120212409232300229,376.37,2569.0,7.0,1.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.2724795640326975
2024-10-28,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,6987.26,78848.0,263.0,52.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3335531655844156
2024-10-28,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Any_Function_Any_Field_Static_200924,120212285633300229,48.52,596.0,2.0,1.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.33557046979865773
